province,year,min_wage
ACEH,2015,1900000.0
ACEH,2016,2118500.0
ACEH,2017,2500000.0
ACEH,2018,2700000.0
ACEH,2019,2916810.0
ACEH,2020,3165031.0
ACEH,2021,3165031.0
ACEH,2022,3166460.0
SUMATERA UTARA,2015,1625000.0
SUMATERA UTARA,2016,1811875.0
SUMATERA UTARA,2017,1961354.0
SUMATERA UTARA,2018,2132189.0
SUMATERA UTARA,2019,2303403.0
SUMATERA UTARA,2020,2499423.0
SUMATERA UTARA,2021,2499423.0
SUMATERA UTARA,2022,2522610.0
SUMATERA BARAT,2015,1615000.0
SUMATERA BARAT,2016,1800725.0
SUMATERA BARAT,2017,1949284.0
SUMATERA BARAT,2018,2119067.0
SUMATERA BARAT,2019,2289220.0
SUMATERA BARAT,2020,2484041.0
SUMATERA BARAT,2021,2484041.0
SUMATERA BARAT,2022,2512539.0
RIAU,2015,1878000.0
RIAU,2016,2095000.0
RIAU,2017,2266722.0
RIAU,2018,2464154.0
RIAU,2019,2662026.0
RIAU,2020,2888564.0
RIAU,2021,2888564.0
RIAU,2022,2938564.0
JAMBI,2015,1710000.0
JAMBI,2016,1906650.0
JAMBI,2017,2063000.0
JAMBI,2018,2243719.0
JAMBI,2019,2423889.0
JAMBI,2020,2630162.0
JAMBI,2021,2788826.0
JAMBI,2022,2698941.0
SUMATERA SELATAN,2015,1974346.0
SUMATERA SELATAN,2016,2206000.0
SUMATERA SELATAN,2017,2388000.0
SUMATERA SELATAN,2018,2595995.0
SUMATERA SELATAN,2019,2804453.0
SUMATERA SELATAN,2020,3043111.0
SUMATERA SELATAN,2021,3043111.0
SUMATERA SELATAN,2022,3144446.0
BENGKULU,2015,1500000.0
BENGKULU,2016,1605000.0
BENGKULU,2017,1737412.0
BENGKULU,2018,1888741.0
BENGKULU,2019,2040407.0
BENGKULU,2020,2213604.0
BENGKULU,2021,2460996.0
BENGKULU,2022,2238094.0
LAMPUNG,2015,1581000.0
LAMPUNG,2016,1763000.0
LAMPUNG,2017,1908447.0
LAMPUNG,2018,2074673.0
LAMPUNG,2019,2241270.0
LAMPUNG,2020,2432002.0
LAMPUNG,2021,2432001.0
LAMPUNG,2022,2440486.0
KEP. BANGKA BELITUNG,2015,2100000.0
KEP. BANGKA BELITUNG,2016,2341500.0
KEP. BANGKA BELITUNG,2017,2538673.0
KEP. BANGKA BELITUNG,2018,2755444.0
KEP. BANGKA BELITUNG,2019,2976706.0
KEP. BANGKA BELITUNG,2020,3230024.0
KEP. BANGKA BELITUNG,2021,3000804.0
KEP. BANGKA BELITUNG,2022,3264884.0
KEP. RIAU,2015,1954000.0
KEP. RIAU,2016,2178710.0
KEP. RIAU,2017,2358454.0
KEP. RIAU,2018,2563875.0
KEP. RIAU,2019,2769754.0
KEP. RIAU,2020,3005460.0
KEP. RIAU,2021,3005460.0
KEP. RIAU,2022,3050172.0
DKI JAKARTA,2015,2700000.0
DKI JAKARTA,2016,3100000.0
DKI JAKARTA,2017,3355750.0
DKI JAKARTA,2018,3648036.0
DKI JAKARTA,2019,3940973.0
DKI JAKARTA,2020,4276350.0
DKI JAKARTA,2021,1765000.0
DKI JAKARTA,2022,4641854.0
JAWA BARAT,2015,1000000.0
JAWA BARAT,2016,2250000.0
JAWA BARAT,2017,1420624.0
JAWA BARAT,2018,1544361.0
JAWA BARAT,2019,1668373.0
JAWA BARAT,2020,1810351.0
JAWA BARAT,2021,2630162.0
JAWA BARAT,2022,1841487.0
JAWA TENGAH,2015,910000.0
JAWA TENGAH,2016,910000.0
JAWA TENGAH,2017,1367000.0
JAWA TENGAH,2018,1486065.0
JAWA TENGAH,2019,1605396.0
JAWA TENGAH,2020,1742015.0
JAWA TENGAH,2021,1810351.0
JAWA TENGAH,2022,1812935.0
DI YOGYAKARTA,2015,988500.0
